Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"395089877887",Graf PA742 Water Pump,,,"1","FIXED_PRICE","GBP",18.99,,,18.99,"0","0","","Dec-25-23 23:47:11 PST","Jul-25-26 23:47:11 PDT","Water Pumps","33604","","","New other (see details)","","","","","248793566","UK","","",""
"395089889321",GENUINE FORD 5127207 ASSY DOOR REAR DOOR HINGE SWING CHECK STRAP TRANSIT,,,"1","FIXED_PRICE","GBP",69.19,,,69.19,"1","1","","Dec-25-23 23:57:55 PST","Jul-25-26 23:57:55 PDT","Doors & Door Skins","179850","","","New other (see details)","","","","","","UK","","",""
"395089891831",Backing Plate with Commercial Mirror Glass - Fits LHS Ford Connect - TCG-8LB,,,"1","FIXED_PRICE","GBP",13.99,,,13.99,"0","","","Dec-26-23 00:00:45 PST","Jul-26-26 00:00:45 PDT","Mirror Glass","262163","","","New","","","","","249441293","UK","","5012758836546",""
"395090145128",Delphi TC1150 Ball Joint  Ford Transit V184/V347 00- /Connect 02-13,,,"2","FIXED_PRICE","GBP",12.99,,,12.99,"0","1","0","Dec-26-23 02:36:03 PST","Jul-26-26 02:36:03 PDT","Control Arms, Ball Joints & Assemblies","33580","","","New","","","","","","UK","","5012759251270",""
"395092150901",Pollen Cabin Filter Mann CU3567 Ford Focus DAW DBW DFW Tourneo Connect Transit,,,"2","FIXED_PRICE","GBP",11.99,,,11.99,"0","0","","Dec-27-23 00:01:32 PST","Jul-27-26 00:01:32 PDT","Pollen Filters","61117","","","New","","","","","249054164","UK","","4011558303204",""
"395092157643",Fuel Filter Insert 85mm Outer Diameter 72mm Height Service Spare - Mann P917X,,,"1","FIXED_PRICE","GBP",14.99,,,14.99,"0","","","Dec-27-23 00:05:52 PST","Jul-27-26 00:05:52 PDT","Fuel Filters","33660","","","New","","","","","","UK","","4011558551803",""
"395096832703",DAYCO HIGH TENACITY TIMING BELT KIT KB1001 FORD,,,"1","FIXED_PRICE","GBP",65.0,,,65.0,"0","0","","Dec-29-23 00:18:22 PST","Jul-29-26 00:18:22 PDT","Timing Kits","262137","","","New other (see details)","","","","","","UK","","",""
"395109485262",CHAMPION 240V 1010W ROUTER & CASE CR1010 USED,,,"1","FIXED_PRICE","GBP",54.99,,,54.99,"0","1","0","Jan-03-24 12:50:01 PST","Aug-03-26 12:50:01 PDT","Routers & Jointers","122829","","","Used","","","","","","UK","","",""
"395109532342",INA V-Belt Aux Tensioner Ford Transit Connect TDCi 90 1.8 June 2002 to June 2013,,,"1","FIXED_PRICE","GBP",63.99,,,63.99,"0","1","0","Jan-03-24 13:18:54 PST","Aug-03-26 13:18:54 PDT","Pulleys","262062","","","New","","","","","","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=Mystic Foundation Shade 1 -16mls;Shade 8 All In 1 - 16mls;Shade 12 -All in 1 - 16mls;Shade 9 -All in 1 - 16mls;Shade 11 - All in 1 - 16mls;Bronzer 16mls;BOOST IT! 16mls;X-OUT Dark Circles Brightener 16mls;MOIST PRIMER 7.5MLS;FINAL SEAL 7.5mls;BLUSH SOFT ROSE 7.5mls;BRIGHTENING GLOW G1 7.5mls;EYESHADOW SHADE 42 - 7.5mls;EYESHADOW - SHADE O3 - 7.5mls,,"11","FIXED_PRICE","GBP",11.49,,,11.49,"5","5","0","Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New","","","","","","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=Mystic Foundation Shade 1 -16mls,,"0","FIXED_PRICE","GBP",14.99,,,,"2",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=Shade 8 All In 1 - 16mls,,"1","FIXED_PRICE","GBP",14.99,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=Shade 12 -All in 1 - 16mls,,"1","FIXED_PRICE","GBP",14.99,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=Shade 9 -All in 1 - 16mls,,"1","FIXED_PRICE","GBP",14.99,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=Shade 11 - All in 1 - 16mls,,"1","FIXED_PRICE","GBP",14.99,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=Bronzer 16mls,,"1","FIXED_PRICE","GBP",14.99,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=BOOST IT! 16mls,,"1","FIXED_PRICE","GBP",14.99,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=X-OUT Dark Circles Brightener 16mls,,"1","FIXED_PRICE","GBP",14.99,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=MOIST PRIMER 7.5MLS,,"0","FIXED_PRICE","GBP",11.49,,,,"1",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=FINAL SEAL 7.5mls,,"0","FIXED_PRICE","GBP",11.49,,,,"1",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=BLUSH SOFT ROSE 7.5mls,,"1","FIXED_PRICE","GBP",11.49,,,,"1",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=BRIGHTENING GLOW G1 7.5mls,,"1","FIXED_PRICE","GBP",11.49,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=EYESHADOW SHADE 42 - 7.5mls,,"1","FIXED_PRICE","GBP",11.49,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117161528",LUMINESS AIR AIRBRUSH MAKEUP FOUNDATION EYESHADOW BLUSH PRIMER ETC,Colour=EYESHADOW - SHADE O3 - 7.5mls,,"1","FIXED_PRICE","GBP",11.49,,,,"0",,,"Jan-06-24 14:09:35 PST","Aug-06-26 14:09:35 PDT","Brushes","82597","","","New",,,,,"","UK","","",""
"395117166582",LUMINESS AIR AIRBRUSH REPLACEMENT STYLUS FOR AIRBRUSH MAKEUP,,,"1","FIXED_PRICE","GBP",16.99,,,16.99,"0","1","","Jan-06-24 14:15:10 PST","Aug-06-26 14:15:10 PDT","Brushes","82597","","","New","","","","","","UK","","",""
"395123818581",BOSCH ROTARY HAMMER GBH 2-20 WITH  CASE USED GOOD WORKING ORDER,,,"1","FIXED_PRICE","GBP",39.99,,,39.99,"0","1","","Jan-09-24 13:39:59 PST","Aug-09-26 13:39:59 PDT","Corded Drills","184654","","","Used","","","","","","UK","","",""
"395155398390",MOTORBIKE SCOOTER UNIVERSAL TAIL LUGGAGE BOX TOP BOX MOTORCYCLE 2 AVAILABLE,,,"2","FIXED_PRICE","GBP",29.99,,,29.99,"0","2","0","Jan-23-24 00:47:44 PST","Aug-23-26 00:47:44 PDT","Top Boxes & Tail Bags","179719","","","New other (see details)","","","","","","UK","","",""
"395156072889",QH QKT1740AF IZUZU VAUXHALL OPEL MIDI Clutch Kit,,,"1","FIXED_PRICE","GBP",149.99,,,149.99,"0","","","Jan-23-24 07:41:23 PST","Aug-23-26 07:41:23 PDT","Clutch Kits","262241","","","New other (see details)","","","","","","UK","","5016593458475",""
"395156655655",QH QKT1846AF Clutch Kit Volvo 940,,,"1","FIXED_PRICE","GBP",99.99,,,99.99,"0","","","Jan-23-24 15:14:05 PST","Aug-23-26 15:14:05 PDT","Clutch Kits","262241","","","New other (see details)","","","","","249174925","UK","","",""
"395158112816",Ferm FCD-3240-1 Cordless Heavy Duty Hammer/Drill 32.4v,,,"1","FIXED_PRICE","GBP",9.99,,,9.99,"0","5","0","Jan-24-24 07:27:18 PST","Aug-24-26 07:27:18 PDT","Cordless Drills","184655","","","Used","","","","","","UK","","",""
"395159644204",OFFICE TABLE FOLDING FLIP 130CM X 74CM CONNECTS 3 AVAILABLE,,,"2","FIXED_PRICE","GBP",35.0,,,35.0,"1","2","0","Jan-25-24 00:23:53 PST","Aug-25-26 00:23:53 PDT","Home Office Desks","88057","","","Used","","","","","","UK","","",""
"395159857620",QH QKT1802AF Clutch Kit SSANGYONG DAEWOO,,,"1","FIXED_PRICE","GBP",99.99,,,99.99,"0","","","Jan-25-24 02:54:31 PST","Jul-25-26 02:54:31 PDT","Clutch Kits","262241","","","New other (see details)","","","","","248856612","UK","","",""
"395159859549",QH Q10053 CLUTCH PRESSURE PLATE,,,"1","FIXED_PRICE","GBP",39.99,,,39.99,"0","","","Jan-25-24 02:57:29 PST","Jul-25-26 02:57:29 PDT","Clutch Kits","262241","","","New other (see details)","","","","","","UK","","5016593172500",""
"395160150884",QH CLUTCH PRESSURE PLATE Q10053  MCW METROCAB,,,"2","FIXED_PRICE","GBP",59.99,,,59.99,"0","","","Jan-25-24 06:10:08 PST","Jul-25-26 06:10:08 PDT","Clutch Plates & Discs","177939","","","New other (see details)","","","","","","UK","","5016593172500",""
"395160454484","DH STAINLESS DN15 PN63 1/2 "" 1.4408",,,"1","FIXED_PRICE","GBP",14.99,,,14.99,"0","0","0","Jan-25-24 09:29:28 PST","Jul-25-26 09:29:28 PDT","Ball Valves","184117","","","New other (see details)","","","","","","UK","","",""
"395164000258",Evolution R165CCSL 165mm Circular Saw Corded Electric,,,"1","FIXED_PRICE","GBP",44.99,,,44.99,"0","3","0","Jan-27-24 02:42:58 PST","Jul-27-26 02:42:58 PDT","Circular Saws","71307","","","Used","","","","","27054365300","UK","","0849713042736",""
"395165797842",PASLODE NAIL RAIL MAGAZINE EXTRUSION,,,"1","FIXED_PRICE","GBP",49.99,,,49.99,"0","","","Jan-28-24 02:57:36 PST","Jul-28-26 02:57:36 PDT","Power Tool & Air Tool Replacement Parts","260220","","","Used","","","","","","UK","","",""
"395173027423","7  nVent CADDY Macrofix Insulated M8/M10, Stainless Steel, 108–118 mm OD 4"" Pipe",,,"2","FIXED_PRICE","GBP",34.99,,,34.99,"1","0","","Jan-31-24 14:44:47 PST","Jul-31-26 14:44:47 PDT","Pipe Accessories & Fixtures","260630","","","New","","","","","","UK","","",""
"395173076076",Ford Rear Door Hinge Swing Check Strap Ford TRANSIT Connect 4539761 2002- 2006,,,"1","FIXED_PRICE","GBP",79.24,,,79.24,"0","","","Jan-31-24 15:22:05 PST","Jul-31-26 15:22:05 PDT","Doors & Door Skins","179850","","","New","","","","","","UK","","",""
"395174920878",065549NV UREA COMMERCIAL CAP AdBlue Ad Blue DAF Model CF75/85 XF 105 Man Merced,,,"1","FIXED_PRICE","GBP",14.99,,,14.99,"0","","","Feb-01-24 10:55:02 PST","Aug-01-26 10:55:02 PDT","Other Car Parts & Accessories","9886","","","New","","","","","","UK","","",""
"395175117259",REAR LAMP FORD TRANSIT CONNECT 8/09-13,,,"1","FIXED_PRICE","GBP",19.99,,,19.99,"0","","","Feb-01-24 13:19:39 PST","Aug-01-26 13:19:39 PDT","Rear Light Assemblies","33716","","","New","","","","","","UK","","",""
"395175185961",MANN WK829/7 Fuel Filter FORD TOURNEO TRANSIT,,,"1","FIXED_PRICE","GBP",19.99,,,19.99,"0","","","Feb-01-24 14:16:25 PST","Aug-01-26 14:16:25 PDT","Fuel Filters","33660","","","New","","","","","249099318","UK","","4011558971700",""
"395176292685",DEWALT DW383 CIRCULAR SAW 1700W 110V EX FIRE SERVICE,,,"1","FIXED_PRICE","GBP",69.99,,,69.99,"0","2","0","Feb-02-24 01:46:03 PST","Aug-02-26 01:46:03 PDT","Circular Saws","71307","","","Used","","","","","","UK","","",""
"395176400385",WAI FORD STARTER MOTOR UNIT 32510N,,,"1","FIXED_PRICE","GBP",69.99,,,69.99,"0","0","","Feb-02-24 02:46:25 PST","Aug-02-26 02:46:25 PDT","Starter Motors","177699","","","New","","","","","","UK","","0609843368430",""
"395177392302",GENUINE FORD TRANSIT CONNECT DRIVERS OS RIGHT WING MIRROR GLASS 2002-13 4440212,,,"1","FIXED_PRICE","GBP",27.99,,,27.99,"0","0","","Feb-02-24 14:09:20 PST","Aug-02-26 14:09:20 PDT","Mirror Glass","262163","","","New","","","","","","UK","","",""
